"","code3","pais_nom","2010","2011","2013","2015"
"1","ARG","Argentina",34.4463007461446,32.9134855718479,31.6411951975632,27.6926231865573
"2","BOL","Bolivia",23.5,24.1666666666667,24.4166666666667,28
"3","BRA","Brasil",51.0797342192691,39.0365448504983,41.1960132890365,31.68
"4","CHL","Chile",36.8397149309716,21.6909723108735,18.5432464155582,23.0064397191148
"5","COL","Colombia",33.9685758971101,32.2246652128724,24.3052464160043,22.8121056165353
"6","CRI","Costa Rica",46,34.4,46.6,43.5
"7","DOM","Rep. Dominicana",27.6573585144406,22.9243112731881,37.044991433726,38.8938094912833
"8","ECU","Ecuador",21.4166666666667,32.25,39.8333333333333,39.9166666666667
"9","SLV","El Salvador",22.0097317901376,30.9375193403466,23.7944871819288,15.7350569529402
"10","GTM","Guatemala",17.2726747264182,16.2638220681487,24.5925572617326,23.0322636833574
"11","HND","Honduras",33.9617162110545,20.0076857470292,17.6640808381235,22.4415204642792
"12","MEX","México",27.5,25.6666666666667,28.1666666666667,23.8333333333333
"13","NIC","Nicaragua",21.8164716204779,21.7757991233047,29.0334730981046,34.3338924530184
"14","PAN","Panamá",33.6,38.3,24.9,28.5
"15","PRY","Paraguay",27,25.6607700312175,23.8333333333333,32.7671741999174
"16","PER","Perú",14.6666666666667,16.8333333333333,13.5833333333333,20.5833333333333
"17","URY","Uruguay",58.1666666666667,49.4166666666667,48.75,51.0833333333333
"18","VEN","Venezuela",37.7973883911554,36.9812315524122,38.9166666666667,25.5833333333333
